Data,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2020-03-22,2,0,15,2,2,2,0,0,8,44,1,0,7,0,3,0,7,12,6,0,45,67,172,17,1,0,5
2020-03-23,0,0,6,1,0,0,3,0,14,51,0,1,5,2,4,0,6,14,11,3,45,47,114,16,2,0,0
2020-03-24,6,0,15,0,0,0,2,2,13,19,6,1,0,0,0,5,9,12,39,4,2,72,65,27,4,5,2
2020-03-25,6,0,7,2,2,6,0,2,8,18,0,0,4,2,1,1,16,25,2,6,3,65,52,0,2,1,1
2020-03-26,1,1,13,6,0,0,0,0,20,35,2,2,2,1,5,0,21,45,13,0,20,51,190,40,10,3,1
2020-03-27,1,0,14,0,1,2,1,0,11,47,3,4,8,0,9,0,17,27,27,8,36,72,171,30,10,0,3
2020-03-28,0,2,30,4,0,2,1,3,12,32,1,5,12,2,17,0,14,2,35,6,16,65,183,30,7,2,3
2020-03-29,9,0,29,1,0,4,0,3,27,34,2,0,5,3,23,0,15,29,10,7,26,42,45,29,2,3,5
2020-03-30,8,4,11,3,0,0,1,0,22,24,7,1,5,2,9,0,7,15,3,12,30,57,66,23,3,2,8
2020-03-31,0,2,24,11,2,0,1,1,37,18,8,2,9,2,5,3,24,33,22,12,14,51,822,20,4,7,4
2020-04-01,1,1,25,8,1,6,1,0,33,54,21,3,8,0,10,1,45,32,16,12,39,124,642,23,6,2,3
2020-04-02,0,0,29,6,1,4,0,0,21,106,19,1,11,1,13,3,28,28,12,24,56,160,525,15,2,9,2
2020-04-03,3,8,31,4,0,4,0,4,15,77,10,8,30,2,71,2,49,62,34,19,27,82,542,32,15,8,7
2020-04-04,0,9,51,30,1,7,2,1,50,103,7,3,40,1,36,2,94,14,53,14,33,172,418,52,15,12,2
2020-04-05,2,1,106,6,1,5,3,5,69,93,8,2,25,1,30,5,43,8,23,13,68,148,154,14,12,4,3
2020-04-06,2,5,115,16,2,0,0,3,30,190,37,1,22,0,4,0,20,63,22,28,27,67,246,5,4,16,1
2020-04-07,0,14,104,36,4,0,2,1,25,38,39,1,129,5,8,4,45,27,38,15,34,227,816,19,14,2,14
2020-04-08,4,59,168,29,0,7,4,5,41,240,58,5,49,3,7,0,36,47,40,18,55,250,1026,17,25,12,5
2020-04-09,8,21,95,1,10,3,0,0,62,134,43,14,154,7,0,3,70,63,44,46,41,278,772,18,21,18,4
2020-04-10,8,38,82,2,4,11,0,8,45,53,20,24,129,2,2,3,34,18,192,27,43,248,736,28,12,4,8
2020-04-11,2,27,69,47,1,12,0,3,31,104,51,6,132,1,26,0,33,4,39,49,52,143,203,24,18,9,3
2020-04-12,5,37,156,29,2,4,2,0,38,94,54,16,144,3,13,2,62,13,36,34,56,248,336,35,20,2,1
2020-04-13,13,12,69,24,7,4,1,2,50,124,47,10,194,6,37,0,18,11,9,47,9,376,140,24,4,11,12
2020-04-14,9,65,209,53,22,30,0,22,36,205,33,25,130,8,37,1,35,36,49,33,69,179,476,13,51,4,2
2020-04-15,2,27,70,61,5,1,0,10,48,152,152,15,200,17,23,1,12,47,27,94,19,333,1672,31,20,13,6
2020-04-16,9,28,165,54,7,28,3,7,144,229,65,14,199,16,1,2,29,33,31,197,55,201,525,34,14,5,10
2020-04-17,25,8,90,119,16,22,2,21,108,298,102,30,323,11,63,5,42,22,42,102,63,405,1273,30,17,6,12
2020-04-18,7,23,88,83,18,37,2,22,134,350,243,10,187,21,53,18,71,29,36,96,56,194,1053,16,43,9,18
2020-04-19,21,23,147,45,18,21,0,27,37,218,165,31,266,22,15,12,42,23,13,147,77,222,373,65,15,3,7
2020-04-20,13,17,116,217,32,22,1,12,111,230,115,9,231,13,64,3,20,35,50,69,35,134,313,45,10,7,3
2020-04-21,19,24,110,124,39,3,3,39,148,234,76,18,218,28,13,6,17,15,38,44,41,407,805,9,18,0,2
2020-04-22,19,22,209,169,24,33,0,33,155,194,208,38,390,20,38,25,39,19,28,101,53,246,529,65,17,2,2
2020-04-23,13,69,409,72,27,17,0,81,145,688,153,44,221,11,62,7,19,71,24,50,25,620,826,17,15,38,11
2020-04-24,7,85,306,179,40,7,6,89,173,202,194,41,480,39,46,20,37,67,55,18,111,110,1086,26,33,19,27
2020-04-25,24,52,441,133,38,41,7,88,119,621,154,61,508,41,27,9,21,35,39,214,62,546,2178,24,20,7,4
2020-04-26,21,113,198,288,36,56,8,53,128,412,118,52,391,34,44,6,16,70,26,108,67,283,711,53,67,3,17
2020-04-27,0,44,95,261,29,6,9,89,145,893,187,44,460,33,7,38,30,62,102,93,38,833,981,80,43,7,4
2020-04-28,32,76,409,134,20,18,12,134,186,192,118,90,366,44,25,83,85,58,139,78,63,560,2345,67,45,4,2
2020-04-29,43,98,464,160,20,27,37,180,106,349,276,66,470,46,229,57,77,82,519,233,109,365,2117,62,44,31,9
2020-04-30,50,64,453,454,69,67,21,87,205,339,386,115,682,59,91,110,59,98,90,358,69,584,2540,81,76,5,6
2020-05-01,82,41,469,300,83,83,27,182,234,273,316,112,458,87,120,70,40,63,19,197,108,713,1676,110,27,23,6
2020-05-02,67,66,339,284,68,66,27,146,182,352,299,108,811,65,69,84,45,90,242,286,88,380,800,100,17,11,5
2020-05-03,104,295,621,403,52,72,55,69,228,139,235,135,498,77,26,129,22,47,0,138,95,593,598,83,25,6,6
2020-05-04,76,251,559,262,51,66,21,97,239,2670,187,50,220,42,29,42,48,45,173,140,229,582,415,119,11,7,2
2020-05-05,84,198,867,347,105,63,36,68,306,430,303,142,462,91,115,126,26,104,104,176,105,670,1866,50,61,21,9
2020-05-06,126,115,1134,545,82,63,48,97,261,834,498,132,556,74,38,100,39,235,294,166,153,904,3800,88,102,14,5
2020-05-07,71,153,856,507,155,88,72,164,227,1584,361,164,943,102,165,216,29,79,165,270,165,861,2075,352,3,38,23
2020-05-08,163,123,628,617,124,104,71,166,290,1068,520,374,763,80,82,224,55,318,123,404,173,1585,1902,184,26,40,15
2020-05-09,158,171,1198,634,41,78,78,139,356,923,856,125,883,102,98,150,74,46,167,170,180,1188,2581,134,16,45,20
2020-05-10,112,120,674,481,39,88,116,86,384,813,834,185,805,45,9,183,50,49,57,187,114,133,1033,106,24,17,16
2020-05-11,13,58,320,307,94,5,59,85,250,907,545,184,493,54,61,29,14,34,100,220,83,877,687,101,7,22,23
2020-05-12,130,239,1249,1053,64,33,81,237,396,813,382,252,541,111,44,232,57,341,204,268,115,547,1588,196,15,50,20
2020-05-13,104,95,1648,1002,152,83,104,181,343,744,586,268,592,169,334,236,90,0,95,314,298,242,3378,213,19,70,25
2020-05-14,46,423,1365,1249,74,89,97,211,408,1921,689,316,687,172,170,226,67,80,504,412,217,739,3189,224,289,58,22
2020-05-15,45,202,1211,1242,103,89,150,240,1173,1413,938,378,621,121,249,374,76,600,230,385,246,520,4092,371,149,60,27
2020-05-16,82,204,1285,1075,130,117,100,381,186,1305,853,324,2279,180,218,267,103,98,116,397,278,1614,2805,353,68,72,29
2020-05-17,130,118,651,680,44,85,103,223,129,460,900,284,964,167,133,208,44,40,98,149,137,637,1162,228,52,50,62
2020-05-18,237,71,585,870,80,85,114,215,138,2108,746,439,642,35,47,223,74,0,399,413,84,4427,721,251,57,36,43
2020-05-19,248,287,1219,1561,214,109,150,285,2432,1749,960,514,1148,153,299,401,121,15,238,536,282,1140,2929,234,97,58,29
2020-05-20,335,239,1572,1840,242,82,163,121,184,2448,916,538,1318,197,313,310,135,1223,86,399,309,2567,3864,308,132,59,51
2020-05-21,286,639,1663,1621,160,79,167,479,744,853,944,400,1351,215,264,457,194,500,111,786,310,1717,3880,381,136,118,53
2020-05-22,240,467,1671,1713,115,160,229,386,616,3160,1154,644,1849,222,191,188,129,445,848,642,399,1500,3132,406,190,48,59
2020-05-23,524,436,1764,1228,335,68,225,328,443,549,1555,626,1026,184,348,209,160,418,149,398,343,944,3687,303,73,132,53
2020-05-24,293,262,1065,1428,92,65,161,584,899,473,2424,315,973,132,98,183,113,134,89,89,330,3379,1603,387,66,110,66
2020-05-25,341,231,415,1952,67,75,105,468,305,590,1595,193,607,160,62,134,119,89,179,358,294,1386,1464,292,69,38,99
2020-05-26,280,383,1667,2523,225,69,162,376,362,836,1492,903,488,170,713,287,181,226,141,524,554,726,2392,280,159,128,77
2020-05-27,470,652,1559,2433,369,99,165,522,504,254,1867,1290,1065,246,158,177,200,263,356,595,495,2374,3466,551,172,211,86
2020-05-28,349,533,2638,2666,390,277,254,475,893,546,1834,923,794,277,0,244,272,1186,628,719,675,2488,6382,539,247,112,76
2020-05-29,241,317,2763,2787,250,139,334,563,954,574,2503,879,1542,260,833,306,252,0,530,700,546,3067,5691,422,229,152,94
2020-05-30,231,844,1651,810,241,201,370,605,709,8111,2138,851,1172,242,939,343,237,1008,248,534,398,4467,5586,752,266,258,62
2020-05-31,147,289,818,665,199,175,195,1065,766,1983,2019,300,1023,186,0,194,214,90,259,253,834,968,2556,306,117,68,71
2020-06-01,107,288,396,85,230,218,169,549,506,2015,658,533,450,188,562,234,148,0,461,379,206,1142,1598,730,204,112,79
2020-06-02,139,621,1421,3161,305,158,138,722,2532,2569,1328,1164,608,387,269,322,328,587,162,1082,269,2202,6999,746,471,168,78
2020-06-03,214,596,1152,3567,236,293,215,848,1021,2983,1549,1159,955,322,916,434,331,479,374,970,1071,2508,5188,764,193,139,156
2020-06-04,342,444,2126,3275,746,340,183,690,1012,3739,2455,1561,1044,236,133,211,326,612,498,773,1024,1692,5717,903,374,346,123
2020-06-05,263,776,1193,2911,403,348,301,840,2956,1800,2684,1000,1004,653,158,377,528,573,314,1215,961,2134,5365,1285,429,287,72
2020-06-06,241,446,1119,2216,838,407,323,881,977,1980,2157,1208,850,388,9,395,257,454,439,841,944,1467,5984,1642,296,181,135
2020-06-07,458,272,484,1095,410,291,139,888,854,696,2123,523,881,373,3,318,292,98,280,669,764,3223,2524,773,144,216,121
2020-06-08,145,249,542,1761,516,239,163,0,465,1334,1778,641,463,143,1436,437,134,115,0,1040,180,1743,1520,6,311,222,71
2020-06-09,329,477,1423,3116,594,288,245,1487,1766,2779,2698,1501,305,306,139,399,283,552,627,1305,219,3480,5545,1461,397,239,131
2020-06-10,289,852,1615,2947,630,291,205,983,2204,3018,1439,1580,925,432,541,489,517,817,402,1380,1399,1394,6178,1343,638,263,142
2020-06-11,345,543,1140,2031,697,247,272,1024,1206,2477,2172,1338,1059,464,1666,441,626,549,359,885,947,1402,6204,1074,498,490,256
2020-06-12,204,517,1122,2202,677,118,215,831,774,1826,1925,1186,878,514,267,478,248,216,212,1028,1658,2009,5380,889,189,271,148
2020-06-13,239,639,915,2182,486,130,187,856,1123,724,1254,898,799,488,288,1332,528,243,131,675,508,1052,4975,563,94,161,234
2020-06-14,108,190,480,669,155,33,41,1312,613,319,991,559,590,328,382,1102,350,34,64,509,767,736,5327,912,4,337,198
2020-06-15,129,301,271,45,315,6,165,763,1219,2714,742,655,246,204,43,1707,133,777,600,1140,347,1374,3258,813,2238,324,118
2020-06-16,232,1211,1241,2019,830,54,172,670,1586,1827,2119,1460,920,524,998,635,841,1033,442,1371,296,2397,8825,1696,1082,203,234
2020-06-17,336,594,1529,2949,557,215,264,1235,1720,3678,2024,1584,1019,678,0,497,528,657,613,1489,1323,3620,1232,1760,972,736,379
2020-06-18,325,769,1189,2431,237,271,201,766,651,2306,1356,48,1180,540,677,531,834,694,558,1230,1559,354,1111,1381,1068,388,110
2020-06-19,323,535,947,3449,549,229,182,1273,2345,2590,2409,3333,1094,468,150,470,866,765,749,1471,1146,6061,19030,2381,723,841,392
2020-06-20,276,1652,1219,2809,599,387,247,792,1382,2293,1173,1428,1398,1246,3167,641,877,551,786,1074,1253,2159,4135,1336,853,609,324
2020-06-21,118,266,508,1773,229,83,151,959,975,710,386,263,995,451,84,536,839,210,474,642,336,596,3392,989,739,508,247
2020-06-22,158,2842,321,1366,646,68,123,738,807,1292,630,469,381,212,667,399,623,362,355,926,1277,1439,2788,921,917,551,154
2020-06-23,271,1755,1342,2616,671,2152,289,853,1998,3370,1332,1746,337,793,118,499,729,1154,1307,1043,979,3297,7502,1220,1032,638,393
2020-06-24,212,482,1691,3072,926,463,332,982,2847,2050,1293,913,1191,958,1699,470,1110,1145,1677,1654,1446,2624,9347,1886,1054,784,417
2020-06-25,282,496,503,2328,749,1069,327,835,2360,2548,1611,912,1114,853,891,728,858,1051,1030,1765,1426,2404,9765,1617,925,714,322
2020-06-26,340,247,953,2436,1098,1039,256,799,2131,2296,1773,2008,668,943,1066,827,851,1054,996,1406,6122,2600,9921,2455,1316,869,390
2020-06-27,269,239,802,2841,0,167,285,657,8822,2206,1417,1410,1285,642,522,1411,1147,886,861,0,2075,306,7073,1440,757,779,394
2020-06-28,145,84,627,1130,549,1263,262,791,3251,940,397,437,1018,493,203,1102,923,243,556,2031,1775,2495,6156,2139,364,882,220
2020-06-29,88,268,244,764,586,118,131,805,972,657,457,378,369,595,5265,396,584,416,692,1414,1123,585,3408,2166,1023,399,149
2020-06-30,107,239,930,1999,845,182,405,845,3840,474,1482,1900,382,669,566,594,1551,1282,1298,1796,1137,728,6235,2147,1374,550,289
2020-07-01,462,435,1461,2647,211,512,458,857,3178,4318,2805,1218,847,1637,1612,504,1348,1230,925,1928,2583,2667,8555,1458,1160,985,711
2020-07-02,333,226,1246,2214,508,2430,232,509,2864,2507,2769,1361,1414,1248,998,697,2079,1024,1296,1419,3123,1545,12244,1605,722,1106,386
2020-07-03,64,421,1007,2344,271,740,282,1076,2965,2517,2189,1229,1243,1069,524,1574,1862,1176,1686,1449,2644,2133,8523,1715,67,1127,326
2020-07-04,375,235,1408,2120,716,446,546,851,3171,2911,843,1541,1095,1185,836,1575,2404,1248,1670,1134,2607,1484,1828,1764,2164,1244,522
2020-07-05,135,74,69,1280,522,153,193,680,1563,512,657,422,1672,518,388,456,889,336,1038,570,2325,852,7649,2094,32,793,179
2020-07-06,66,121,410,724,442,26,165,634,1231,1013,537,423,513,432,339,501,1310,446,853,1154,1343,587,2891,2529,770,605,164
2020-07-07,253,290,2743,1617,643,140,364,955,3675,2475,1837,1651,509,1003,836,922,1539,1399,1520,2151,1271,2207,9638,2311,2012,910,434
2020-07-08,226,230,915,2592,503,196,436,798,3582,3519,851,1542,1453,897,691,850,1407,1757,1468,1839,3138,2243,8657,1620,1356,1429,376
2020-07-09,298,239,1236,1987,335,870,405,869,2783,2529,2384,1270,1163,1334,549,926,1709,877,1598,1472,2829,1995,8350,1363,1212,1429,608
2020-07-10,303,317,1189,1943,598,1066,664,768,2867,2546,1395,1504,1333,1524,1205,1297,2088,1056,1698,1347,3222,1119,9395,1620,1262,1132,590
2020-07-11,312,199,723,2260,496,629,430,674,3002,2399,1680,1303,1270,1196,351,1333,1285,1230,1920,880,3727,232,7780,1109,655,1240,708
2020-07-12,110,85,296,780,232,376,193,697,1575,840,554,363,1100,498,805,1585,1740,520,1005,563,2038,9,5107,2306,451,775,228
2020-07-13,70,188,886,795,322,402,175,966,1128,421,878,324,431,396,379,590,1045,416,784,1080,971,2360,2610,1572,452,381,264
2020-07-14,219,333,1229,2061,478,341,416,709,3138,2231,1637,1354,675,797,541,946,1781,1337,2235,1334,1821,778,12000,1370,1136,487,473
2020-07-15,193,523,1303,2264,389,713,308,859,2964,1811,1002,1477,1384,1289,313,972,1761,1246,1926,1139,3367,1627,6569,1725,1063,1040,697
2020-07-16,193,596,1081,2205,737,716,641,870,3380,2752,1657,1484,1131,1097,324,1087,2281,3105,1805,1766,2460,124,8872,2242,1306,792,699
2020-07-17,100,432,797,2125,463,610,282,519,2284,1938,1057,924,1332,515,325,662,1916,1366,1768,1343,2801,657,5367,1779,480,1860,475
2020-07-18,237,149,1712,1783,0,366,255,330,1581,606,909,624,1086,1511,2148,1184,2232,137,982,670,3604,0,4612,1763,114,-264,201
2020-07-19,93,120,379,537,0,94,564,495,1931,428,233,411,943,728,315,2171,1076,266,805,478,2097,3294,3022,1249,-26,1429,397
2020-07-20,167,440,476,912,684,219,125,229,1123,594,581,298,663,310,191,816,1280,336,1078,1094,1160,2481,1385,1875,3,1503,234
2020-07-21,238,260,775,1992,841,299,456,644,3552,1420,1248,1164,326,670,310,1051,1629,2391,2061,898,1434,4116,6235,1789,3022,1438,749
2020-07-22,279,255,557,1970,2293,969,496,729,6401,4122,1577,2128,941,1539,917,1030,2389,3233,3081,1087,3175,3502,16777,1725,3490,1695,1503
2020-07-23,178,178,1498,2109,1145,978,573,849,5113,3134,1757,2132,1858,1364,872,1257,2077,1768,2726,920,3827,2926,12561,2222,3174,1983,782
2020-07-24,236,188,1205,1785,793,942,542,1184,4409,2582,1195,1446,1802,1170,627,1735,2255,2166,2735,1246,4244,3330,11211,2391,2389,1451,632
2020-07-25,264,136,670,1671,700,520,955,1017,3632,2773,880,1173,1710,1040,243,1132,1334,2111,2316,744,3281,1414,16263,1773,1954,729,712
2020-07-26,88,58,369,540,237,435,847,646,1780,488,328,430,1714,655,173,339,1627,661,1397,602,2478,32,4501,2145,1113,396,499
2020-07-27,38,144,616,360,338,73,339,828,930,344,694,540,666,540,192,1009,781,265,1408,837,1147,1509,3672,2148,2071,1507,288
2020-07-28,349,333,1039,1362,701,414,745,938,4204,3121,1403,1482,546,967,1083,1397,1391,2303,3633,1427,2927,1805,0,2246,2652,1707,641
2020-07-29,234,276,975,1664,785,680,666,982,4021,3522,1706,1723,1858,1411,677,1205,1528,2149,3230,1105,2749,2008,26543,1616,3021,1772,968
2020-07-30,207,299,1047,1501,773,459,761,855,4296,2396,1568,1210,1837,1236,616,1470,2568,1977,3903,1316,4021,1995,14809,2100,1611,2130,876
2020-07-31,52,196,800,1335,585,561,546,746,4524,2414,1399,1686,1632,1279,749,1029,2624,219,3169,1407,3691,1853,13298,1850,2672,1418,649
2020-08-01,305,127,837,1368,512,707,522,1267,2772,2046,920,667,1741,981,1141,1011,1818,3764,2849,522,2879,1718,10014,1630,1546,925,803
2020-08-02,36,44,347,232,389,428,1088,1248,1550,652,372,547,1224,535,288,311,1675,584,1060,424,2816,12,6367,2106,628,573,264
2020-08-03,373,165,262,220,123,37,564,538,915,381,529,203,431,231,185,444,1260,439,907,977,942,839,1533,2016,137,1348,642
2020-08-04,369,195,883,1772,1223,6,666,573,3998,2380,1405,1549,432,1219,536,590,1853,2139,3268,994,1985,847,15371,1880,2979,1458,1033
2020-08-05,325,319,981,2418,781,1102,648,843,4348,2102,1572,1311,1488,0,924,917,2599,2945,3253,1033,3933,3768,9676,2042,3374,2337,637
2020-08-06,230,417,804,2127,705,633,1227,899,3953,1858,1606,796,1074,2657,616,858,1952,2274,3224,1301,3167,1385,13405,2034,3292,1335,786
2020-08-07,113,229,803,1937,665,611,819,823,4202,2108,1781,1250,1477,1290,611,884,1630,189,2948,1380,4495,1632,9709,1903,2910,2944,887
2020-08-08,122,175,571,2340,476,393,745,832,3509,2835,854,776,1241,1181,433,543,0,4569,3167,1223,3400,2828,13352,1921,1724,41,719
2020-08-09,89,69,522,543,144,454,560,865,1628,298,436,189,1021,411,140,422,1067,396,1186,645,3204,326,5395,1233,540,590,637
2020-08-10,32,191,247,509,362,62,626,624,1068,115,430,284,247,196,130,281,4158,43,993,1278,1148,1166,1289,3012,1380,1782,395
2020-08-11,138,237,908,1462,1096,557,758,698,4670,1893,1494,1453,601,966,2501,481,1819,3381,2594,1407,1476,2547,11147,1415,3775,1863,823
2020-08-12,236,165,815,2265,593,573,719,816,4253,1872,1205,1078,1393,1321,-1349,410,1842,2634,2879,1277,3934,3047,15619,1700,3048,1863,947
2020-08-13,249,214,882,1747,615,691,643,878,3935,1659,928,897,1467,1197,500,945,1882,2511,2631,1196,4430,2475,19274,1986,3475,1734,1050
2020-08-14,193,229,975,1983,612,627,994,603,4038,2063,1131,866,1567,933,395,415,2177,2582,3151,1157,3513,1806,11667,1996,2485,1611,875
2020-08-15,81,187,464,1402,364,500,1075,844,3386,1237,956,928,1364,1043,193,476,1927,2303,1818,659,3086,723,11408,1848,1704,492,1108
2020-08-16,32,87,671,959,185,226,511,658,1651,238,573,445,1185,440,60,296,1333,432,879,815,2888,3665,1963,1453,654,508,294
2020-08-17,57,185,351,406,395,42,867,204,1085,583,555,190,225,237,178,316,1275,130,786,1279,1313,372,3172,2268,1073,1240,589
2020-08-18,328,254,618,1715,691,518,989,763,3926,1056,1777,1274,605,911,409,386,1858,3210,2647,1015,2072,4829,8865,1435,3297,1368,968
2020-08-19,213,254,711,2141,798,318,987,439,3618,1943,1386,997,1429,1249,360,368,1659,2674,2537,1216,3371,3513,9847,1592,3291,1399,988
2020-08-20,176,392,743,2022,426,488,954,482,3937,1221,1289,951,1142,1364,471,435,2349,177,2222,947,3904,2923,9451,1997,2583,1457,820
2020-08-21,15,272,457,2393,367,202,1062,217,1147,577,1243,845,1072,697,53,343,2343,267,1277,874,3561,1120,5132,1693,1215,1401,510
2020-08-22,328,156,577,1998,481,336,991,631,4461,1588,770,680,596,974,202,407,2260,4504,1659,702,2884,3428,13284,1675,2479,804,1177
2020-08-23,54,89,246,645,426,203,757,387,1846,854,527,162,1113,389,189,220,1111,1034,484,279,3107,484,4885,1871,1134,315,610
2020-08-24,10,134,177,293,370,40,677,638,1158,123,495,171,217,266,67,134,1045,80,1041,601,1306,412,2351,1521,1905,1279,567
2020-08-25,207,299,787,2027,723,274,1127,399,3731,1822,1026,905,601,791,512,320,1533,2810,2157,698,2816,2643,9190,3171,3561,1745,1259
2020-08-26,183,428,833,1955,605,315,964,423,4082,1396,1755,1005,1120,1140,281,296,1704,3221,1870,718,3237,2672,10465,1563,2463,1432,1035
2020-08-27,150,304,671,1733,686,331,1194,438,2832,1945,1247,883,1069,1064,451,377,1833,2331,2078,753,3969,2523,8318,1610,2768,1775,902
2020-08-28,193,340,761,1577,400,307,1022,419,3124,1757,1221,707,999,873,326,440,2890,2424,2054,831,3523,0,11756,1317,1604,1656,891
2020-08-29,139,146,1015,1372,291,302,1071,309,3813,1610,751,728,1005,883,288,241,2003,3677,4712,532,3100,3759,5213,1346,1351,822,871
2020-08-30,37,121,201,925,183,171,722,154,1272,363,317,130,943,349,142,137,1636,66,460,326,2485,345,1982,1270,547,375,499
2020-08-31,9,301,236,385,474,48,321,167,665,496,403,117,445,140,99,111,1303,1331,30913,910,1507,329,938,1246,1643,1009,415
